,Nama,Biaya Tiket,Fasilitas,Keamanan,Kebersihan,Akses Jalan
0,Pantai Samudra Baru,10000,Baik,Baik,Baik,Baik
1,Pantai Pelangi,15000,Sedang,Cukup,Cukup,Cukup
2,Pantai Tanjung Baru,5000,Sederhana,Cukup,Cukup,Cukup
3,Pantai Tanjung Pakis,2000,Sederhana,Cukup,Cukup,Buruk
4,Pantai Pasir Putih,10000,Baik,Baik,Baik,Baik
5,Pantai Sedari,5000,Sederhana,Cukup,Cukup,Buruk
6,Pantai Cibendo,0,Sederhana,Cukup,Cukup,Buruk
7,Danau Situ Cipule,5000,Baik,Baik,Baik,Baik
8,Danau Situ Kalimati,0,Sederhana,Cukup,Cukup,Cukup
9,Danau Situ Kaamojing,2000,Sederhana,Cukup,Cukup,Cukup
10,Danau Situ Cibayat,0,Sederhana,Cukup,Buruk,Buruk
11,Curug Cigentis,5000,Sederhana,Cukup,Cukup,Cukup
12,Curug Bandung,10000,Baik,Baik,Baik,Baik
13,Curug Cikolengkak,5000,Sederhana,Cukup,Cukup,Cukup
14,Curug Cikarapyak,0,Sederhana,Cukup,Cukup,Buruk
15,Curug Cipanundaan,2000,Sederhana,Cukup,Cukup,Buruk
16,Curug Lalay,10000,Baik,Baik,Baik,Baik
17,Green Canyon,25000,Baik,Baik,Baik,Baik
18,Puncak Sempur,10000,Sederhana,Cukup,Cukup,Cukup
19,Batu Tumpang,0,Sederhana,Cukup,Cukup,Cukup
20,Kampung Turis,0,Baik,Baik,Baik,Baik
21,Hutan Kertas,20000,Baik,Baik,Baik,Cukup
22,Pulau Putri,0,Baik,Baik,Baik,Baik
23,Kebon Kembang,0,Sederhana,Cukup,Cukup,Cukup
24,Hutan Kertas,10000,Sederhana,Cukup,Cukup,Cukup
25,Hutan Mangrove,5000,Baik,Baik,Baik,Baik
26,Kampung Budaya,0,Baik,Baik,Baik,Cukup
27,Rumah Soekarno,0,Baik,Baik,Baik,Baik
28,Monumen Rawagede,0,Baik,Cukup,Cukup,Cukup
29,Situs Candi Blandongan,0,Baik,Cukup,Cukup,Cukup
30,Situs Candi Jiwa (Museum Batujaya),15000,Baik,Baik,Baik,Baik
31,Situs Candi Cibuaya,0,Baik,Baik,Baik,Baik
32,Situs Telaga Jaya,0,Baik,Baik,Baik,Baik
33,Situ Cipondoh,0,Baik,Cukup,Cukup,Cukup
34,Benteng Portugis,0,Baik,Cukup,Cukup,Cukup
35,Makam Syech Quro,0,Baik,Baik,Baik,Baik
36,Makam Ki Gedeng Karawang,0,Baik,Baik,Baik,Baik
37,Gereja Santo Yosef Karawang,0,Baik,Baik,Baik,Baik
38,Taman Wonderland Karawang,35000,Baik,Cukup,Cukup,Cukup
39,Galuh Mas Karawang,0,Baik,Cukup,Cukup,Cukup
40,Resinda Park Mall,0,Baik,Baik,Baik,Baik
41,Summarecon Villagio Karawang,0,Baik,Baik,Baik,Cukup
